function_name,category,fixture_id,jpl_status,moshier_status,vsop_elp_meeus_status,jpl_elapsed_ns,moshier_elapsed_ns,vsop_elp_meeus_elapsed_ns,jpl_output_sha256,moshier_output_sha256,vsop_elp_meeus_output_sha256,jpl_vs_moshier_relation,jpl_vs_vsop_relation,moshier_vs_vsop_relation,max_abs_diff_if_numeric,max_rel_diff_if_numeric,notes
jme_centiseconds_to_time_string,engine_invariant,modern_bhuj_standard,OK,OK,OK,163595,154724,182462,99001028315cec3bfb101bc89017c2e26230bad4111a721c4b55cdfef5cf850c,321fb168ec730cf7adecfd712761ae1b84f218c5625957f6170a94327ee24491,9a4521ac27e483745a806827d64a9c4a8f23186b7bce5ccf942cd3707f24cb7c,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_close,engine_invariant,modern_bhuj_standard,OK,OK,OK,189084,155253,161763,3e03df5ffb72dfca32ac7289b9affbd5344fc692675c9d59c6f891eb543cb50c,900a0d4062300716657df28a8c86e23ba05b0becedfe6531c3caf4a864b4c7b8,7a6007e8bfe7f01f7a81c3e05cf178217fe15740e8d877e71627f06b8869ab09,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_copy_body_name,engine_invariant,modern_bhuj_standard,OK,OK,OK,487612,768140,451639,7a0355aaac94785d96b663bd944c5eb2b66c7a078a6aacdf4ca70576084e7613,ce7d25b3bd14bf722f130d85f64dbc51c1dac28419c93e7d0dee3d62382d04b9,7800d2d51412df4e411c58196391b1058fd4e7833c4223f3cc415a1b07ff115e,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_date_is_valid,engine_invariant,modern_bhuj_standard,OK,OK,OK,71935,90338,61544,f49ab11a96a569ce4a4e15ceebffce60e65c8a0b1724f20f609f90b90eda78fa,3aacca6dcf7a9bfc302d3d61223f2b30447039a5228eb26f5aff3bffaf1671b2,a4a8e129a3ea954d64ae02d76cbb005f1516a871f642c5d727323708d30059b3,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_day_of_week,engine_invariant,modern_bhuj_standard,OK,OK,OK,84433,61661,52293,15dfec81639c8c7f8041bdae3c0c858cb5bc3c38de535ffa54752c1f942867ce,14ff292bd8059c23181800197d4a7661af4911ffc7f4170bb5fc24a1672e1998,1c85de637efaeba5c8ee7bda3eb3b66dfb5bfd9b847127c3fbb7301b8597a139,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_day_of_year,engine_invariant,modern_bhuj_standard,OK,OK,OK,65987,96594,66275,170552dd2fa7b003139c4838b7cf4637fa06fa0f871580fedd23adc3f72156fe,fdc56f653bf0ac34e17b11ea4489b6e66a8f64a252d4141d94c6512af94cbb80,ed9cea1d96a96b90f2e2e26d7389c19b652914ee24b47c48c9e49fd8cf397b5f,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_days_in_month,engine_invariant,modern_bhuj_standard,OK,OK,OK,52757,58703,58656,c7dbfa0709619f63641694a657dd56bed4f22ee2ba25333495fd621af78b3b5d,9f6870098f78efb9cf9d8f2399fe3eb1e23df49552eb6eb64a469365bac7ea92,911cb7b27ffec2816188496d7d76ac51409a53fb61110db04174f4fdbbe694b0,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_decimal_hour,engine_invariant,modern_bhuj_standard,OK,OK,OK,218627,187269,177813,231a3e67fb86822bf0e97b739e085ff1723148911745f29441eaa35a74089a2f,e42877fdfef026f86300e0699dd688eca59082fe4ff1c31fdc74c6ceaa4922db,1878c044b753620a2f606a86219834012f72023407ca6e179b5df18f1db50b60,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_degree_midpoint,engine_invariant,modern_bhuj_standard,OK,OK,OK,180832,180126,188694,144e87780e341ef1dd4bf1331b8daa1c1624f8618be992f3ac42b93e4098ca0e,a3c2fd7fcbab34c7a97af570dfc558c65f4a129b6ff30a0a58a1d046f0226c1b,cc961bcba22f0e1069c43cdd843369854f48f6e65d905f823905d961006f4e8b,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_degree_normalize,engine_invariant,modern_bhuj_standard,OK,OK,OK,373765,343323,335027,f9d1ccd68a8ee2b4d9e6e4f7ad70c922cf73449aa03b8864269d714aca65ec1a,f276329bc2b811e9928644e618f390f1e11547e385ca9b3a0fd1df6d7015282c,d17fdf699f920d3d1b71808e4d587763cb7089f661e128adc40573e72e978951,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
